Host,Match,Total Goals,Attendance
Argentina,12,3,71666
Argentina,13,0,34771
Argentina,14,1,41424
Argentina,15,2,7938
Argentina,16,0,28125
Argentina,17,4,23127
Argentina,18,4,22651
Argentina,19,0,30667
Argentina,20,1,71712
Argentina,21,1,35221
Argentina,22,1,42132
Argentina,23,5,21262
Argentina,24,5,35130
Argentina,25,0,67547
Argentina,26,6,25050
Argentina,27,3,31278
Argentina,28,2,37091
Argentina,29,1,35288
Argentina,30,1,66695
Argentina,31,4,40750
Argentina,32,0,37326
Argentina,33,3,67433
Argentina,34,5,38318
Argentina,35,4,39586
Argentina,36,6,37315
Argentina,37,3,69659
Argentina,38,4,71483
Spain,1,1,95000
Spain,2,0,33000
Spain,3,3,68000
Spain,4,0,11000
Spain,5,11,23000
Spain,6,7,36000
Spain,7,3,42000
Spain,8,4,44172
Spain,9,2,49562
Spain,10,1,22500
Spain,11,2,25000
Spain,12,0,25000
Spain,13,2,25000
Spain,14,5,32093
Spain,15,5,47379
Spain,16,0,19000
Spain,17,1,15000
Spain,18,3,19000
Spain,19,5,42000
Spain,20,2,41123
Spain,21,3,48000
Spain,22,2,22000
Spain,23,5,30043
Spain,24,2,15000
Spain,25,6,25000
Spain,26,2,37000
Spain,27,4,45000
Spain,28,2,20000
Spain,29,2,32500
Spain,30,4,43000
Spain,31,5,16000
Spain,32,2,28000
Spain,33,1,25000
Spain,34,1,41000
Spain,35,1,39700
Spain,36,1,49562
Spain,37,1,37000
Spain,38,3,65000
Spain,39,3,43000
Spain,40,0,75000
Spain,41,4,20000
Spain,42,1,45000
Spain,43,4,44000
Spain,44,3,90089
Spain,45,5,37000
Spain,46,0,65000
Spain,47,5,44000
Spain,48,0,75000
Spain,49,2,50000
Spain,50,6,70000
Spain,51,5,28000
Spain,52,4,90000
Mexico,1,2,96000
Mexico,2,1,65500
Mexico,3,1,35748
Mexico,4,6,16500
Mexico,5,4,60000
Mexico,6,0,19900
Mexico,7,2,22000
Mexico,8,3,110000
Mexico,9,1,23000
Mexico,10,1,24000
Mexico,11,1,18000
Mexico,12,2,30500
Mexico,13,2,32000
Mexico,14,2,36540
Mexico,15,2,45000
Mexico,16,2,13800
Mexico,17,1,48000
Mexico,18,0,20200
Mexico,19,3,28000
Mexico,20,2,114600
Mexico,21,1,19915
Mexico,22,3,20000
Mexico,23,7,26500
Mexico,24,3,30000
Mexico,25,3,31420
Mexico,26,2,14200
Mexico,27,5,20000
Mexico,28,2,65000
Mexico,29,4,16000
Mexico,30,1,103763
Mexico,31,4,28000
Mexico,32,3,22700
Mexico,33,3,51000
Mexico,34,3,23980
Mexico,35,0,20000
Mexico,36,2,36000
Mexico,37,7,32277
Mexico,38,2,114580
Mexico,39,1,26000
Mexico,40,4,45000
Mexico,41,2,70000
Mexico,42,1,19800
Mexico,43,3,98728
Mexico,44,6,38500
Mexico,45,2,65000
Mexico,46,0,41700
Mexico,47,2,45000
Mexico,48,3,114580
Mexico,49,2,45000
Mexico,50,2,114500
Mexico,51,6,21000
Mexico,52,5,114600
Italy,1,1,73780
Italy,2,2,42907
Italy,3,2,30791
Italy,4,1,73303
Italy,5,6,33266
Italy,6,3,62628
Italy,7,5,74765
Italy,8,1,30867
Italy,9,2,35238
Italy,10,2,32790
Italy,11,2,33288
Italy,12,0,35713
Italy,13,2,55759
Italy,14,3,38687
Italy,15,1,32257
Italy,16,1,73423
Italy,17,1,38962
Italy,18,6,71169
Italy,19,1,58007
Italy,20,3,31823
Italy,21,0,35267
Italy,22,0,33288
Italy,23,4,32733
Italy,24,4,33759
Italy,25,2,52733
Italy,26,4,37307
Italy,27,2,72510
Italy,28,5,27833
Italy,29,2,73303
Italy,30,3,34857
Italy,31,1,62502
Italy,32,3,30223
Italy,33,1,29039
Italy,34,3,35950
Italy,35,2,33288
Italy,36,1,34959
Italy,37,3,50026
Italy,38,5,47673
Italy,39,1,61381
Italy,40,3,74559
Italy,41,0,31818
Italy,42,2,73303
Italy,43,3,35500
Italy,44,1,34520
Italy,45,0,38971
Italy,46,1,73303
Italy,47,1,73347
Italy,48,5,55205
Italy,49,2,59978
Italy,50,2,62628
Italy,51,3,51426
Italy,52,1,73603
USA,1,4,56247
USA,2,1,63117
USA,3,2,73425
USA,4,1,75338
USA,5,4,91856
USA,6,1,61219
USA,7,1,52395
USA,8,4,93194
USA,9,3,50535
USA,10,2,81061
USA,11,4,54456
USA,12,3,44132
USA,13,2,63113
USA,14,5,61428
USA,15,3,93869
USA,16,1,74624
USA,17,0,54453
USA,18,3,60790
USA,19,4,71528
USA,20,3,83401
USA,21,1,62387
USA,22,3,76322
USA,23,3,54453
USA,24,4,63160
USA,25,1,93869
USA,26,2,83401
USA,27,5,63998
USA,28,4,63089
USA,29,0,72404
USA,30,2,77217
USA,31,2,52535
USA,32,7,74914
USA,33,3,60578
USA,34,1,52959
USA,35,2,53001
USA,36,2,63998
USA,37,5,60246
USA,38,3,53121
USA,39,4,60277
USA,40,5,90469
USA,41,2,61355
USA,42,1,84147
USA,43,3,54367
USA,44,2,71030
USA,45,3,53400
USA,46,5,63500
USA,47,3,72000
USA,48,4,83500
USA,49,3,74110
USA,50,1,91856
USA,51,4,91500
USA,52,0,94194
France,1,3,80000
France,2,4,29800
France,3,4,31800
France,4,2,33500
France,5,0,29800
France,6,1,38100
France,7,3,55000
France,8,5,35500
France,9,4,39100
France,10,0,77000
France,11,1,33500
France,12,1,30600
France,13,4,38100
France,14,2,55000
France,15,1,39100
France,16,2,45500
France,17,2,31800
France,18,3,35500
France,19,2,30600
France,20,3,29800
France,21,2,33500
France,22,4,80000
France,23,1,45500
France,24,0,30600
France,25,1,35500
France,26,4,31800
France,27,5,55000
France,28,4,38100
France,29,5,45500
France,30,3,39100
France,31,1,29800
France,32,3,33500
France,33,3,80000
France,34,2,35500
France,35,3,30600
France,36,3,55000
France,37,3,39100
France,38,4,31800
France,39,7,38100
France,40,4,33500
France,41,2,45500
France,42,4,30600
France,43,2,29800
France,44,1,35500
France,45,3,39100
France,46,1,31800
France,47,2,77000
France,48,2,38100
France,49,1,55000
France,50,5,45500
France,51,1,31800
France,52,5,77000
France,53,3,29800
France,54,3,33500
France,55,1,31800
France,56,4,30600
France,57,0,77000
France,58,5,35500
France,59,3,55000
France,60,3,39100
France,61,2,54000
France,62,3,76000
France,63,3,45500
France,64,3,80000
Korea/Japan,1,1,62561
Korea/Japan,2,3,30157
Korea/Japan,3,2,33679
Korea/Japan,4,8,32218
Korea/Japan,5,1,34050
Korea/Japan,6,4,25186
Korea/Japan,7,2,52721
Korea/Japan,8,4,28598
Korea/Japan,9,3,33842
Korea/Japan,10,2,31081
Korea/Japan,11,1,32239
Korea/Japan,12,2,27217
Korea/Japan,13,4,55256
Korea/Japan,14,2,48760
Korea/Japan,15,2,30957
Korea/Japan,16,5,37306
Korea/Japan,17,2,35854
Korea/Japan,18,2,43500
Korea/Japan,19,1,52328
Korea/Japan,20,0,38289
Korea/Japan,21,3,36194
Korea/Japan,22,1,35927
