Year,Host,Match,Datetime,Stage,City,Home_Team,Home Team Goals,Away Team Goals,Total Goals,Away _Team,Attendance,Home Team Initials,Away Team Initials
1970,Mexico,13,07 Jun 1970 - 12:00 ,Group,Toluca ,Sweden,1,1,2,Israel,9624,SWE,ISR
1970,Mexico,14,07 Jun 1970 - 12:00 ,Group,Leon ,Germany FR,5,2,7,Bulgaria,12710,FRG,BUL
1970,Mexico,15,07 Jun 1970 - 12:00 ,Group,Guadalajara ,Brazil,1,0,1,England,66843,BRA,ENG
1970,Mexico,16,07 Jun 1970 - 12:00 ,Group,Mexico City ,Mexico,4,0,4,El Salvador,103058,MEX,SLV
1970,Mexico,17,10 Jun 1970 - 16:00 ,Group,Puebla ,Sweden,1,0,1,Uruguay,18163,SWE,URU
1970,Mexico,18,10 Jun 1970 - 16:00 ,Group,Leon ,Germany FR,3,1,4,Peru,17875,FRG,PER
1970,Mexico,19,10 Jun 1970 - 16:00 ,Group,Guadalajara ,Brazil,3,2,5,Romania,50804,BRA,ROU
1970,Mexico,20,10 Jun 1970 - 16:00 ,Group,Mexico City ,Soviet Union,2,0,2,El Salvador,89979,URS,SLV
1970,Mexico,21,11 Jun 1970 - 16:00 ,Group,Toluca ,Italy,0,0,0,Israel,9890,ITA,ISR
1970,Mexico,22,11 Jun 1970 - 16:00 ,Group,Leon ,Bulgaria,1,1,2,Morocco,12299,BUL,MAR
1970,Mexico,23,11 Jun 1970 - 16:00 ,Group,Guadalajara ,England,1,0,1,Czechoslovakia,49292,ENG,TCH
1970,Mexico,24,11 Jun 1970 - 16:00 ,Group,Mexico City ,Mexico,1,0,1,Belgium,108192,MEX,BEL
1970,Mexico,25,14 Jun 1970 - 12:00 ,Quarter-finals,Toluca ,Italy,4,1,5,Mexico,26851,ITA,MEX
1970,Mexico,26,14 Jun 1970 - 12:00 ,Quarter-finals,Leon ,Germany FR,3,2,5,England,23357,FRG,ENG
1970,Mexico,27,14 Jun 1970 - 12:00 ,Quarter-finals,Guadalajara ,Brazil,4,2,6,Peru,54233,BRA,PER
1970,Mexico,28,14 Jun 1970 - 12:00 ,Quarter-finals,Mexico City ,Uruguay,1,0,1,Soviet Union,26085,URU,URS
1970,Mexico,29,17 Jun 1970 - 16:00 ,Semi-finals,Guadalajara ,Brazil,3,1,4,Uruguay,51261,BRA,URU
1970,Mexico,30,17 June 1970 - 16:00 ,Semi-finals,Mexico City ,Italy,4,3,7,Germany FR,102444,ITA,FRG
1970,Mexico,31,20 Jun 1970 - 16:00 ,Match for third place,Mexico City ,Germany FR,1,0,1,Uruguay,104403,FRG,URU
1970,Mexico,32,21 Jun 1970 - 12:00 ,Final,Mexico City ,Brazil,4,1,5,Italy,107412,BRA,ITA
1974,Germany,1,13 Jun 1974 - 17:00 ,Group,Frankfurt/Main ,Brazil,0,0,0,Yugoslavia,62000,BRA,YUG
1974,Germany,2,14 Jun 1974 - 16:00 ,Group,Berlin West ,Germany FR,1,0,1,Chile,81100,FRG,CHI
1974,Germany,3,14 Jun 1974 - 19:30 ,Group,Hamburg ,German DR,2,0,2,Australia,17000,GDR,AUS
1974,Germany,4,14 Jun 1974 - 19:30 ,Group,Dortmund ,Zaire,0,2,2,Scotland,27000,ZAI,SCO
1974,Germany,5,15 Jun 1974 - 16:00 ,Group,Hanover ,Uruguay,0,2,2,Netherlands,55100,URU,NED
1974,Germany,6,15 Jun 1974 - 16:00 ,Group,D�Sseldorf ,Sweden,0,0,0,Bulgaria,23800,SWE,BUL
1974,Germany,7,15 Jun 1974 - 18:00 ,Group,Munich ,Italy,3,1,4,Haiti,53000,ITA,HAI
1974,Germany,8,15 Jun 1974 - 18:00 ,Group,Stuttgart ,Poland,3,2,5,Argentina,32700,POL,ARG
1974,Germany,9,18 Jun 1974 - 16:00 ,Group,Hamburg ,Australia,0,3,3,Germany FR,53300,AUS,FRG
1974,Germany,10,18 Jun 1974 - 19:30 ,Group,Frankfurt/Main ,Scotland,0,0,0,Brazil,62000,SCO,BRA
1974,Germany,11,18 Jun 1974 - 19:30 ,Group,Berlin West ,Chile,1,1,2,German DR,28300,CHI,GDR
1974,Germany,12,18 Jun 1974 - 19:30 ,Group,Gelsenkirchen ,Yugoslavia,9,0,9,Zaire,31700,YUG,ZAI
1974,Germany,13,19 Jun 1974 - 19:30 ,Group,Dortmund ,Netherlands,0,0,0,Sweden,53700,NED,SWE
1974,Germany,14,19 Jun 1974 - 19:30 ,Group,Hanover ,Bulgaria,1,1,2,Uruguay,13400,BUL,URU
1974,Germany,15,19 Jun 1974 - 19:30 ,Group,Munich ,Haiti,0,7,7,Poland,25300,HAI,POL
1974,Germany,16,19 Jun 1974 - 19:30 ,Group,Stuttgart ,Argentina,1,1,2,Italy,70100,ARG,ITA
1974,Germany,17,22 Jun 1974 - 16:00 ,Group,Frankfurt/Main ,Scotland,1,1,2,Yugoslavia,56000,SCO,YUG
1974,Germany,18,22 Jun 1974 - 16:00 ,Group,Berlin West ,Australia,0,0,0,Chile,17400,AUS,CHI
1974,Germany,19,22 Jun 1974 - 16:00 ,Group,Gelsenkirchen ,Zaire,0,3,3,Brazil,36200,ZAI,BRA
1974,Germany,20,22 June 1974 - 19:30 ,Group,Hamburg ,German DR,1,0,1,Germany FR,60200,GDR,FRG
1974,Germany,21,23 Jun 1974 - 16:00 ,Group,Dortmund ,Bulgaria,1,4,5,Netherlands,53300,BUL,NED
1974,Germany,22,23 Jun 1974 - 16:00 ,Group,Munich ,Argentina,4,1,5,Haiti,25900,ARG,HAI
1974,Germany,23,23 Jun 1974 - 16:00 ,Group,D�Sseldorf ,Sweden,3,0,3,Uruguay,28300,SWE,URU
1974,Germany,24,23 Jun 1974 - 16:00 ,Group,Stuttgart ,Poland,2,1,3,Italy,70100,POL,ITA
1974,Germany,25,26 Jun 1974 - 16:00 ,Group B,D�Sseldorf ,Yugoslavia,0,2,2,Germany FR,67385,YUG,FRG
1974,Germany,26,26 Jun 1974 - 19:30 ,Group A,Hanover ,Brazil,1,0,1,German DR,59863,BRA,GDR
1974,Germany,27,26 Jun 1974 - 19:30 ,Group A,Gelsenkirchen ,Netherlands,4,0,4,Argentina,56548,NED,ARG
1974,Germany,28,26 Jun 1974 - 19:30 ,Group B,Stuttgart ,Sweden,0,1,1,Poland,44955,SWE,POL
1974,Germany,29,30 Jun 1974 - 16:00 ,Group A,Hanover ,Argentina,1,2,3,Brazil,39400,ARG,BRA
1974,Germany,30,30 Jun 1974 - 16:00 ,Group B,Frankfurt/Main ,Poland,2,1,3,Yugoslavia,58000,POL,YUG
1974,Germany,31,30 Jun 1974 - 16:00 ,Group A,Gelsenkirchen ,German DR,0,2,2,Netherlands,68348,GDR,NED
1974,Germany,32,30 Jun 1974 - 19:30 ,Group B,D�Sseldorf ,Germany FR,4,2,6,Sweden,67800,FRG,SWE
1974,Germany,33,03 Jul 1974 - 17:00 ,Group B,Frankfurt/Main ,Poland,0,1,1,Germany FR,62000,POL,FRG
1974,Germany,34,03 Jul 1974 - 19:30 ,Group A,Dortmund ,Netherlands,2,0,2,Brazil,53700,NED,BRA
1974,Germany,35,03 Jul 1974 - 19:30 ,Group A,Gelsenkirchen ,Argentina,1,1,2,German DR,54254,ARG,GDR
1974,Germany,36,03 Jul 1974 - 19:30 ,Group B,D�Sseldorf ,Sweden,2,1,3,Yugoslavia,41300,SWE,YUG
1974,Germany,37,06 Jul 1974 - 16:00 ,Match for third place,Munich ,Brazil,0,1,1,Poland,77100,BRA,POL
1974,Germany,38,07 July 1974 - 16:00 ,Final,Munich ,Netherlands,1,2,3,Germany FR,78200,NED,FRG
1978,Argentina,1,01 Jun 1978 - 15:00 ,Group,Buenos Aires ,Germany FR,0,0,0,Poland,67579,FRG,POL
1978,Argentina,2,02 Jun 1978 - 13:45 ,Group,Mar Del Plata ,Italy,2,1,3,France,42373,ITA,FRA
1978,Argentina,3,02 Jun 1978 - 16:45 ,Group,Rosario ,Tunisia,3,1,4,Mexico,17396,TUN,MEX
1978,Argentina,4,02 Jun 1978 - 19:15 ,Group,Buenos Aires ,Argentina,2,1,3,Hungary,71615,ARG,HUN
1978,Argentina,5,03 Jun 1978 - 13:45 ,Group,Mar Del Plata ,Sweden,1,1,2,Brazil,32569,SWE,BRA
1978,Argentina,6,03 Jun 1978 - 13:45 ,Group,Buenos Aires ,Austria,2,1,3,Spain,40841,AUT,ESP
1978,Argentina,7,03 Jun 1978 - 16:45 ,Group,Cordoba ,Peru,3,1,4,Scotland,37927,PER,SCO
1978,Argentina,8,03 Jun 1978 - 16:45 ,Group,Mendoza ,Netherlands,3,0,3,IR Iran,33431,NED,IRN
1978,Argentina,9,06 Jun 1978 - 13:45 ,Group,Mar Del Plata ,Italy,3,1,4,Hungary,26533,ITA,HUN
1978,Argentina,10,06 Jun 1978 - 16:45 ,Group,Rosario ,Poland,1,0,1,Tunisia,9624,POL,TUN
1978,Argentina,11,06 Jun 1978 - 16:45 ,Group,Cordoba ,Germany FR,6,0,6,Mexico,35258,FRG,MEX
1978,Argentina,12,06 Jun 1978 - 19:15 ,Group,Buenos Aires ,Argentina,2,1,3,France,71666,ARG,FRA
1978,Argentina,13,07 Jun 1978 - 13:45 ,Group,Mar Del Plata ,Brazil,0,0,0,Spain,34771,BRA,ESP
1978,Argentina,14,07 Jun 1978 - 13:45 ,Group,Buenos Aires ,Austria,1,0,1,Sweden,41424,AUT,SWE
1978,Argentina,15,07 Jun 1978 - 16:45 ,Group,Cordoba ,Scotland,1,1,2,IR Iran,7938,SCO,IRN
1978,Argentina,16,07 Jun 1978 - 16:45 ,Group,Mendoza ,Netherlands,0,0,0,Peru,28125,NED,PER
1978,Argentina,17,10 Jun 1978 - 15:10 ,Group,Mar Del Plata ,France,3,1,4,Hungary,23127,FRA,HUN
1978,Argentina,18,10 Jun 1978 - 16:45 ,Group,Rosario ,Poland,3,1,4,Mexico,22651,POL,MEX
1978,Argentina,19,10 Jun 1978 - 16:45 ,Group,Cordoba ,Germany FR,0,0,0,Tunisia,30667,FRG,TUN
1978,Argentina,20,10 Jun 1978 - 19:15 ,Group,Buenos Aires ,Italy,1,0,1,Argentina,71712,ITA,ARG
1978,Argentina,21,11 Jun 1978 - 13:45 ,Group,Mar Del Plata ,Brazil,1,0,1,Austria,35221,BRA,AUT
1978,Argentina,22,11 Jun 1978 - 13:45 ,Group,Buenos Aires ,Spain,1,0,1,Sweden,42132,ESP,SWE
1978,Argentina,23,11 Jun 1978 - 16:45 ,Group,Cordoba ,Peru,4,1,5,Iran,21262,PER,IRN
1978,Argentina,24,11 Jun 1978 - 16:45 ,Group,Mendoza ,Scotland,3,2,5,Netherlands,35130,SCO,NED
1978,Argentina,25,14 Jun 1978 - 13:45 ,Group A,Buenos Aires ,Germany FR,0,0,0,Italy,67547,FRG,ITA
1978,Argentina,26,14 Jun 1978 - 13:45 ,Group A,Cordoba ,Netherlands,5,1,6,Austria,25050,NED,AUT
1978,Argentina,27,14 Jun 1978 - 16:45 ,Group B,Mendoza ,Brazil,3,0,3,Peru,31278,BRA,PER
1978,Argentina,28,14 Jun 1978 - 19:15 ,Group B,Rosario ,Argentina,2,0,2,Poland,37091,ARG,POL
1978,Argentina,29,18 Jun 1978 - 13:45 ,Group B,Mendoza ,Poland,1,0,1,Peru,35288,POL,PER
1978,Argentina,30,18 Jun 1978 - 16:45 ,Group A,Buenos Aires ,Italy,1,0,1,Austria,66695,ITA,AUT
1978,Argentina,31,18 Jun 1978 - 16:45 ,Group A,Cordoba ,Germany FR,2,2,4,Netherlands,40750,FRG,NED
1978,Argentina,32,18 Jun 1978 - 19:15 ,Group B,Rosario ,Argentina,0,0,0,Brazil,37326,ARG,BRA
1978,Argentina,33,21 Jun 1978 - 13:45 ,Group A,Buenos Aires ,Netherlands,2,1,3,Italy,67433,NED,ITA
1978,Argentina,34,21 Jun 1978 - 13:45 ,Group A,Cordoba ,Austria,3,2,5,Germany FR,38318,AUT,FRG
1978,Argentina,35,21 Jun 1978 - 16:45 ,Group B,Mendoza ,Brazil,3,1,4,Poland,39586,BRA,POL
1978,Argentina,36,21 Jun 1978 - 19:15 ,Group B,Rosario ,Argentina,6,0,6,Peru,37315,ARG,PER
1978,Argentina,37,24 Jun 1978 - 15:00 ,Match for third place,Buenos Aires ,Brazil,2,1,3,Italy,69659,BRA,ITA
1978,Argentina,38,25 Jun 1978 - 15:00 ,Final,Buenos Aires ,Argentina,3,1,4,Netherlands,71483,ARG,NED
1982,Spain,1,13 Jun 1982 - 20:00 ,Group,Barcelona ,Argentina,0,1,1,Belgium,95000,ARG,BEL
1982,Spain,2,14 Jun 1982 - 17:15 ,Group,Vigo ,Italy,0,0,0,Poland,33000,ITA,POL
1982,Spain,3,14 Jun 1982 - 21:00 ,Group 6,Seville ,Brazil,2,1,3,Soviet Union,68000,BRA,URS
1982,Spain,4,15 Jun 1982 - 17:15 ,Group,La Coru�A ,Peru,0,0,0,Cameroon,11000,PER,CMR
1982,Spain,5,15 Jun 1982 - 21:00 ,Group,Elche ,Hungary,10,1,11,El Salvador,23000,HUN,SLV
1982,Spain,6,15 Jun 1982 - 21:00 ,Group 6,Malaga ,Scotland,5,2,7,New Zealand,36000,SCO,NZL
1982,Spain,7,16 Jun 1982 - 17:15 ,Group,Gijon ,Germany FR,1,2,3,Algeria,42000,FRG,ALG
1982,Spain,8,16 Jun 1982 - 17:15 ,Group,Bilbao ,England,3,1,4,France,44172,ENG,FRA
1982,Spain,9,16 Jun 1982 - 21:00 ,Group 5,Valencia ,Spain,1,1,2,Honduras,49562,ESP,HON
1982,Spain,10,17 Jun 1982 - 17:15 ,Group,Oviedo ,Chile,0,1,1,Austria,22500,CHI,AUT
1982,Spain,11,17 Jun 1982 - 17:45 ,Group,Valladolid ,Czechoslovakia,1,1,2,Kuwait,25000,TCH,KUW
1982,Spain,12,17 Jun 1982 - 21:00 ,Group 5,Zaragoza ,Yugoslavia,0,0,0,Northern Ireland,25000,YUG,NIR
1982,Spain,13,18 Jun 1982 - 17:15 ,Group,Vigo ,Italy,1,1,2,Peru,25000,ITA,PER
1982,Spain,14,18 Jun 1982 - 21:00 ,Group,Alicante ,Argentina,4,1,5,Hungary,32093,ARG,HUN
1982,Spain,15,18 Jun 1982 - 21:00 ,Group 6,Seville ,Brazil,4,1,5,Scotland,47379,BRA,SCO
1982,Spain,16,19 Jun 1982 - 19:15 ,Group,La Coru�A ,Poland,0,0,0,Cameroon,19000,POL,CMR
1982,Spain,17,19 Jun 1982 - 21:00 ,Group,Elche ,Belgium,1,0,1,El Salvador,15000,BEL,SLV
1982,Spain,18,19 Jun 1982 - 21:00 ,Group 6,Malaga ,Soviet Union,3,0,3,New Zealand,19000,URS,NZL
1982,Spain,19,20 Jun 1982 - 17:15 ,Group,Gijon ,Germany FR,4,1,5,Chile,42000,FRG,CHI
1982,Spain,20,20 Jun 1982 - 17:15 ,Group,Bilbao ,England,2,0,2,Czechoslovakia,41123,ENG,TCH
1982,Spain,21,20 Jun 1982 - 21:00 ,Group 5,Valencia ,Spain,2,1,3,Yugoslavia,48000,ESP,YUG
1982,Spain,22,21 Jun 1982 - 17:15 ,Group,Oviedo ,Algeria,0,2,2,Austria,22000,ALG,AUT
1982,Spain,23,21 Jun 1982 - 17:15 ,Group,Valladolid ,France,4,1,5,Kuwait,30043,FRA,KUW
1982,Spain,24,21 Jun 1982 - 21:00 ,Group 5,Zaragoza ,Honduras,1,1,2,Northern Ireland,15000,HON,NIR
1982,Spain,25,22 Jun 1982 - 17:15 ,Group,La Coru�A ,Poland,5,1,6,Peru,25000,POL,PER
1982,Spain,26,22 Jun 1982 - 21:00 ,Group,Elche ,Belgium,1,1,2,Hungary,37000,BEL,HUN
1982,Spain,27,22 Jun 1982 - 21:00 ,Group 6,Malaga ,Soviet Union,2,2,4,Scotland,45000,URS,SCO
1982,Spain,28,23 Jun 1982 - 17:15 ,Group,Vigo ,Italy,1,1,2,Cameroon,20000,ITA,CMR
1982,Spain,29,23 Jun 1982 - 21:00 ,Group,Alicante ,Argentina,2,0,2,El Salvador,32500,ARG,SLV
1982,Spain,30,23 Jun 1982 - 21:00 ,Group 6,Seville ,Brazil,4,0,4,New Zealand,43000,BRA,NZL
1982,Spain,31,24 Jun 1982 - 17:15 ,Group,Oviedo ,Algeria,3,2,5,Chile,16000,ALG,CHI
1982,Spain,32,24 Jun 1982 - 17:15 ,Group,Valladolid ,France,1,1,2,Czechoslovakia,28000,FRA,TCH
1982,Spain,33,24 Jun 1982 - 21:00 ,Group 5,Zaragoza ,Honduras,0,1,1,Yugoslavia,25000,HON,YUG
1982,Spain,34,25 Jun 1982 - 17:15 ,Group,Gijon ,Germany FR,1,0,1,Austria,41000,FRG,AUT
1982,Spain,35,25 Jun 1982 - 17:15 ,Group,Bilbao ,England,1,0,1,Kuwait,39700,ENG,KUW
1982,Spain,36,25 Jun 1982 - 21:00 ,Group 5,Valencia ,Northern Ireland,1,0,1,Spain,49562,NIR,ESP
1982,Spain,37,28 Jun 1982 - 17:15 ,Group,Madrid ,Austria,0,1,1,France,37000,AUT,FRA
1982,Spain,38,28 Jun 1982 - 21:00 ,Group,Barcelona ,Poland,3,0,3,Belgium,65000,POL,BEL
1982,Spain,39,29 Jun 1982 - 17:15 ,Group,Barcelona ,Italy,2,1,3,Argentina,43000,ITA,ARG
1982,Spain,40,29 Jun 1982 - 21:00 ,Group,Madrid ,Germany FR,0,0,0,England,75000,FRG,ENG
1982,Spain,41,01 Jul 1982 - 17:15 ,Group,Madrid ,Austria,2,2,4,Northern Ireland,20000,AUT,NIR
1982,Spain,42,01 Jul 1982 - 21:00 ,Group,Barcelona ,Belgium,0,1,1,Soviet Union,45000,BEL,URS
1982,Spain,43,02 Jul 1982 - 17:15 ,Group,Barcelona ,Argentina,1,3,4,Brazil,44000,ARG,BRA
1982,Spain,44,02 Jul 1982 - 21:00 ,Group,Madrid ,Germany FR,2,1,3,Spain,90089,FRG,ESP
1982,Spain,45,04 Jul 1982 - 17:15 ,Group,Madrid ,France,4,1,5,Northern Ireland,37000,FRA,NIR
1982,Spain,46,04 Jul 1982 - 21:00 ,Group,Barcelona ,Poland,0,0,0,Soviet Union,65000,POL,URS
1982,Spain,47,05 Jul 1982 - 17:15 ,Group,Barcelona ,Italy,3,2,5,Brazil,44000,ITA,BRA
1982,Spain,48,05 Jul 1982 - 21:00 ,Group,Madrid ,Spain,0,0,0,England,75000,ESP,ENG
1982,Spain,49,08 Jul 1982 - 17:15 ,Semi-finals,Barcelona ,Poland,0,2,2,Italy,50000,POL,ITA
1982,Spain,50,08 Jul 1982 - 21:00 ,Semi-finals,Seville ,Germany FR,3,3,6,France,70000,FRG,FRA
1982,Spain,51,10 Jul 1982 - 20:00 ,Match for third place,Alicante ,Poland,3,2,5,France,28000,POL,FRA
1982,Spain,52,11 Jul 1982 - 20:00 ,Final,Madrid ,Italy,3,1,4,Germany FR,90000,ITA,FRG
1986,Mexico,1,31 May 1986 - 12:00 ,Group A,Mexico City ,Bulgaria,1,1,2,Italy,96000,BUL,ITA
1986,Mexico,2,01 Jun 1986 - 16:00 ,Group C,Leon ,Canada,0,1,1,France,65500,CAN,FRA
1986,Mexico,3,01 Jun 1986 - 12:00 ,Group D,Guadalajara ,Spain,0,1,1,Brazil,35748,ESP,BRA
1986,Mexico,4,02 Jun 1986 - 12:00 ,Group C,Irapuato ,Soviet Union,6,0,6,Hungary,16500,URS,HUN
1986,Mexico,5,02 Jun 1986 - 12:00 ,Group A,Mexico City ,Argentina,3,1,4,Korea Republic,60000,ARG,KOR
1986,Mexico,6,02 Jun 1986 - 16:00 ,Group F,Monterrey ,Morocco,0,0,0,Poland,19900,MAR,POL
1986,Mexico,7,03 Jun 1986 - 12:00 ,Group D,Guadalajara ,Algeria,1,1,2,Northern Ireland,22000,ALG,NIR
1986,Mexico,8,03 Jun 1986 - 12:00 ,Group B,Mexico City ,Belgium,1,2,3,Mexico,110000,BEL,MEX
1986,Mexico,9,03 Jun 1986 - 16:00 ,Group F,Monterrey ,Portugal,1,0,1,England,23000,POR,ENG
1986,Mexico,10,04 Jun 1986 - 12:00 ,Group B,Toluca ,Paraguay,1,0,1,Iraq,24000,PAR,IRQ
1986,Mexico,11,04 Jun 1986 - 16:00 ,Group E,Nezahualcoyotl ,Scotland,0,1,1,Denmark,18000,SCO,DEN
1986,Mexico,12,04 Jun 1986 - 12:00 ,Group E,Queretaro ,Uruguay,1,1,2,Germany FR,30500,URU,FRG
1986,Mexico,13,05 Jun 1986 - 12:00 ,Group A,Puebla ,Italy,1,1,2,Argentina,32000,ITA,ARG
1986,Mexico,14,05 Jun 1986 - 12:00 ,Group C,Leon ,France,1,1,2,Soviet Union,36540,FRA,URS
1986,Mexico,15,05 Jun 1986 - 16:00 ,Group A,Mexico City ,Korea Republic,1,1,2,Bulgaria,45000,KOR,BUL
1986,Mexico,16,06 Jun 1986 - 12:00 ,Group C,Irapuato ,Hungary,2,0,2,Canada,13800,HUN,CAN
1986,Mexico,17,06 Jun 1986 - 12:00 ,Group D,Guadalajara ,Brazil,1,0,1,Algeria,48000,BRA,ALG
1986,Mexico,18,06 Jun 1986 - 16:00 ,Group F,Monterrey ,England,0,0,0,Morocco,20200,ENG,MAR
1986,Mexico,19,07 Jun 1986 - 12:00 ,Group D,Guadalajara ,Northern Ireland,1,2,3,Spain,28000,NIR,ESP
1986,Mexico,20,07 Jun 1986 - 12:00 ,Group B,Mexico City ,Mexico,1,1,2,Paraguay,114600,MEX,PAR
1986,Mexico,21,07 Jun 1986 - 16:00 ,Group F,Monterrey ,Poland,1,0,1,Portugal,19915,POL,POR
1986,Mexico,22,08 Jun 1986 - 12:00 ,Group B,Toluca ,Iraq,1,2,3,Belgium,20000,IRQ,BEL
1986,Mexico,23,08 Jun 1986 - 16:00 ,Group E,Nezahualcoyotl ,Denmark,6,1,7,Uruguay,26500,DEN,URU
1986,Mexico,24,08 Jun 1986 - 12:00 ,Group E,Queretaro ,Germany FR,2,1,3,Scotland,30000,FRG,SCO
1986,Mexico,25,09 Jun 1986 - 12:00 ,Group C,Leon ,Hungary,0,3,3,France,31420,HUN,FRA
1986,Mexico,26,09 Jun 1986 - 12:00 ,Group C,Irapuato ,Soviet Union,2,0,2,Canada,14200,URS,CAN
1986,Mexico,27,10 Jun 1986 - 12:00 ,Group A,Puebla ,Korea Republic,2,3,5,Italy,20000,KOR,ITA
1986,Mexico,28,10 Jun 1986 - 12:00 ,Group A,Mexico City ,Argentina,2,0,2,Bulgaria,65000,ARG,BUL
1986,Mexico,29,11 Jun 1986 - 12:00 ,Group B,Toluca ,Paraguay,2,2,4,Belgium,16000,PAR,BEL
1986,Mexico,30,11 Jun 1986 - 12:00 ,Group B,Mexico City ,Iraq,0,1,1,Mexico,103763,IRQ,MEX
1986,Mexico,31,11 Jun 1986 - 16:00 ,Group F,Guadalajara ,Portugal,1,3,4,Morocco,28000,POR,MAR
1986,Mexico,32,11 Jun 1986 - 16:00 ,Group F,Monterrey ,England,3,0,3,Poland,22700,ENG,POL
1986,Mexico,33,12 Jun 1986 - 12:00 ,Group D,Guadalajara ,Northern Ireland,0,3,3,Brazil,51000,NIR,BRA
1986,Mexico,34,12 Jun 1986 - 12:00 ,Group D,Monterrey ,Algeria,0,3,3,Spain,23980,ALG,ESP
1986,Mexico,35,13 Jun 1986 - 12:00 ,Group E,Nezahualcoyotl ,Scotland,0,0,0,Uruguay,20000,SCO,URU
1986,Mexico,36,13 Jun 1986 - 12:00 ,Group E,Queretaro ,Denmark,2,0,2,Germany FR,36000,DEN,FRG
1986,Mexico,37,15 Jun 1986 - 16:00 ,Round of 16,Leon ,Soviet Union,3,4,7,Belgium,32277,URS,BEL
1986,Mexico,38,15 Jun 1986 - 12:00 ,Round of 16,Mexico City ,Mexico,2,0,2,Bulgaria,114580,MEX,BUL
1986,Mexico,39,16 Jun 1986 - 16:00 ,Round of 16,Puebla ,Argentina,1,0,1,Uruguay,26000,ARG,URU
1986,Mexico,40,16 Jun 1986 - 12:00 ,Round of 16,Guadalajara ,Brazil,4,0,4,Poland,45000,BRA,POL
1986,Mexico,41,17 Jun 1986 - 12:00 ,Round of 16,Mexico City ,Italy,0,2,2,France,70000,ITA,FRA
1986,Mexico,42,17 Jun 1986 - 16:00 ,Round of 16,Monterrey ,Morocco,0,1,1,Germany FR,19800,MAR,FRG
1986,Mexico,43,18 Jun 1986 - 12:00 ,Round of 16,Mexico City ,England,3,0,3,Paraguay,98728,ENG,PAR
1986,Mexico,44,18 Jun 1986 - 16:00 ,Round of 16,Queretaro ,Denmark,1,5,6,Spain,38500,DEN,ESP
1986,Mexico,45,21 Jun 1986 - 12:00 ,Quarter-finals,Guadalajara ,Brazil,1,1,2,France,65000,BRA,FRA
1986,Mexico,46,21 Jun 1986 - 16:00 ,Quarter-finals,Monterrey ,Germany FR,0,0,0,Mexico,41700,FRG,MEX
1986,Mexico,47,22 Jun 1986 - 16:00 ,Quarter-finals,Puebla ,Spain,1,1,2,Belgium,45000,ESP,BEL
1986,Mexico,48,22 Jun 1986 - 12:00 ,Quarter-finals,Mexico City ,Argentina,2,1,3,England,114580,ARG,ENG
1986,Mexico,49,25 Jun 1986 - 12:00 ,Semi-finals,Guadalajara ,France,0,2,2,Germany FR,45000,FRA,FRG
1986,Mexico,50,25 Jun 1986 - 16:00 ,Semi-finals,Mexico City ,Argentina,2,0,2,Belgium,114500,ARG,BEL
1986,Mexico,51,28 Jun 1986 - 12:00 ,Match for third place,Puebla ,France,4,2,6,Belgium,21000,FRA,BEL
1986,Mexico,52,29 Jun 1986 - 12:00 ,Final,Mexico City ,Argentina,3,2,5,Germany FR,114600,ARG,FRG
1990,Italy,1,08 Jun 1990 - 18:00 ,Group B,Milan ,Argentina,0,1,1,Cameroon,73780,ARG,CMR
1990,Italy,2,09 Jun 1990 - 17:00 ,Group B,Bari ,Soviet Union,0,2,2,Romania,42907,URS,ROU
1990,Italy,3,09 Jun 1990 - 17:00 ,Group D,Bologna ,"rn"">United Arab Emirates",0,2,2,Colombia,30791,UAE,COL
1990,Italy,4,09 Jun 1990 - 21:00 ,Group A,Rome ,Italy,1,0,1,Austria,73303,ITA,AUT
1990,Italy,5,10 Jun 1990 - 17:00 ,Group A,Florence ,USA,1,5,6,Czechoslovakia,33266,USA,TCH
1990,Italy,6,10 Jun 1990 - 21:00 ,Group C,Turin ,Brazil,2,1,3,Sweden,62628,BRA,SWE
1990,Italy,7,10 Jun 1990 - 21:00 ,Group D,Milan ,Germany FR,4,1,5,Yugoslavia,74765,FRG,YUG
1990,Italy,8,11 Jun 1990 - 17:00 ,Group C,Genoa ,Costa Rica,1,0,1,Scotland,30867,CRC,SCO
1990,Italy,9,11 Jun 1990 - 21:00 ,Group F,Cagliari ,England,1,1,2,"rn"">Republic of Ireland",35238,ENG,IRL
1990,Italy,10,12 Jun 1990 - 17:00 ,Group E,Verona ,Belgium,2,0,2,Korea Republic,32790,BEL,KOR
1990,Italy,11,12 Jun 1990 - 21:00 ,Group F,Palermo ,Netherlands,1,1,2,Egypt,33288,NED,EGY
1990,Italy,12,13 Jun 1990 - 17:00 ,Group E,Udine ,Uruguay,0,0,0,Spain,35713,URU,ESP
1990,Italy,13,13 Jun 1990 - 21:00 ,Group B,Naples ,Argentina,2,0,2,Soviet Union,55759,ARG,URS
1990,Italy,14,14 Jun 1990 - 17:00 ,Group B,Bari ,Cameroon,2,1,3,Romania,38687,CMR,ROU
1990,Italy,15,14 Jun 1990 - 17:00 ,Group D,Bologna ,Yugoslavia,1,0,1,Colombia,32257,YUG,COL
1990,Italy,16,14 Jun 1990 - 21:00 ,Group A,Rome ,Italy,1,0,1,USA,73423,ITA,USA
