Year,Host,Match,Datetime,Stage,City,Home_Team,Home Team Goals,Away Team Goals,Total Goals,Away _Team,Attendance,Home Team Initials,Away Team Initials
1938,France,15,16 Jun 1938 - 18:00 ,Semi-finals,Paris ,Hungary,5,1,6,Sweden,20000,HUN,SWE
1938,France,16,16 Jun 1938 - 18:00 ,Semi-finals,Marseilles ,Italy,2,1,3,Brazil,33000,ITA,BRA
1938,France,17,19 Jun 1938 - 17:00 ,Match for third place,Bordeaux ,Brazil,4,2,6,Sweden,12000,BRA,SWE
1938,France,18,19 Jun 1938 - 17:00 ,Final,Colombes ,Italy,4,2,6,Hungary,45000,ITA,HUN
1950,Brazil,1,24 Jun 1950 - 15:00 ,Group,Rio De Janeiro ,Brazil,4,0,4,Mexico,81649,BRA,MEX
1950,Brazil,2,25 Jun 1950 - 15:00 ,Group,Rio De Janeiro ,England,2,0,2,Chile,29703,ENG,CHI
1950,Brazil,3,25 Jun 1950 - 15:00 ,Group,Curitiba ,Spain,3,1,4,USA,9511,ESP,USA
1950,Brazil,4,25 Jun 1950 - 15:00 ,Group,Sao Paulo ,Sweden,3,2,5,Italy,36502,SWE,ITA
1950,Brazil,5,25 Jun 1950 - 15:00 ,Group,Belo Horizonte ,Yugoslavia,3,0,3,Switzerland,7336,YUG,SUI
1950,Brazil,6,28 Jun 1950 - 15:00 ,Group,Sao Paulo ,Brazil,2,2,4,Switzerland,42032,BRA,SUI
1950,Brazil,7,28 Jun 1950 - 15:00 ,Group,Porto Alegre ,Yugoslavia,4,1,5,Mexico,11078,YUG,MEX
1950,Brazil,8,29 Jun 1950 - 15:00 ,Group,Rio De Janeiro ,Spain,2,0,2,Chile,19790,ESP,CHI
1950,Brazil,9,29 Jun 1950 - 15:30 ,Group,Curitiba ,Sweden,2,2,4,Paraguay,7903,SWE,PAR
1950,Brazil,10,29 Jun 1950 - 15:00 ,Group,Belo Horizonte ,USA,1,0,1,England,10151,USA,ENG
1950,Brazil,11,01 Jul 1950 - 15:00 ,Group,Rio De Janeiro ,Brazil,2,0,2,Yugoslavia,142429,BRA,YUG
1950,Brazil,12,02 Jul 1950 - 15:00 ,Group,Rio De Janeiro ,Spain,1,0,1,England,74462,ESP,ENG
1950,Brazil,13,02 Jul 1950 - 15:00 ,Group,Sao Paulo ,Italy,2,0,2,Paraguay,25811,ITA,PAR
1950,Brazil,14,02 Jul 1950 - 15:00 ,Group,Belo Horizonte ,Uruguay,8,0,8,Bolivia,5284,URU,BOL
1950,Brazil,15,02 Jul 1950 - 15:40 ,Group,Porto Alegre ,Switzerland,2,1,3,Mexico,3580,SUI,MEX
1950,Brazil,16,02 Jul 1950 - 15:00 ,Group,Recife ,Chile,5,2,7,USA,8501,CHI,USA
1950,Brazil,17,09 Jul 1950 - 15:00 ,Group 6,Sao Paulo ,Uruguay,2,2,4,Spain,44802,URU,ESP
1950,Brazil,18,09 Jul 1950 - 15:00 ,Group 6,Rio De Janeiro ,Brazil,7,1,8,Sweden,138886,BRA,SWE
1950,Brazil,19,13 Jul 1950 - 15:00 ,Group 6,Rio De Janeiro ,Brazil,6,1,7,Spain,152772,BRA,ESP
1950,Brazil,20,13 Jul 1950 - 15:00 ,Group 6,Sao Paulo ,Uruguay,3,2,5,Sweden,7987,URU,SWE
1950,Brazil,21,16 Jul 1950 - 15:00 ,Group 6,Sao Paulo ,Sweden,3,1,4,Spain,11227,SWE,ESP
1950,Brazil,22,16 Jul 1950 - 15:00 ,Group 6,Rio De Janeiro ,Uruguay,2,1,3,Brazil,173850,URU,BRA
1954,Switzerland,1,16 Jun 1954 - 18:00 ,Group,Berne ,Uruguay,2,0,2,Czechoslovakia,20500,URU,TCH
1954,Switzerland,2,16 Jun 1954 - 18:00 ,Group,Zurich ,Austria,1,0,1,Scotland,25000,AUT,SCO
1954,Switzerland,3,16 Jun 1954 - 18:00 ,Group,Geneva ,Brazil,5,0,5,Mexico,13470,BRA,MEX
1954,Switzerland,4,16 Jun 1954 - 18:00 ,Group,Lausanne ,Yugoslavia,1,0,1,France,16000,YUG,FRA
1954,Switzerland,5,17 Jun 1954 - 18:00 ,Group,Berne ,Germany FR,4,1,5,Turkey,28000,FRG,TUR
1954,Switzerland,6,17 Jun 1954 - 18:00 ,Group,Zurich ,Hungary,9,0,9,Korea Republic,13000,HUN,KOR
1954,Switzerland,7,17 Jun 1954 - 18:10 ,Group,Basel ,England,4,4,8,Belgium,14000,ENG,BEL
