Year,Datetime,Stage,City,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1950,02 Jul 1950 - 15:00 ,Group 2,Recife ,Chile,5,USA,2
1950,09 Jul 1950 - 15:00 ,Group 6,Sao Paulo ,Uruguay,2,Spain,2
1950,09 Jul 1950 - 15:00 ,Group 6,Rio De Janeiro ,Brazil,7,Sweden,1
1950,13 Jul 1950 - 15:00 ,Group 6,Rio De Janeiro ,Brazil,6,Spain,1
1950,13 Jul 1950 - 15:00 ,Group 6,Sao Paulo ,Uruguay,3,Sweden,2
1950,16 Jul 1950 - 15:00 ,Group 6,Sao Paulo ,Sweden,3,Spain,1
1950,16 Jul 1950 - 15:00 ,Group 6,Rio De Janeiro ,Uruguay,2,Brazil,1
1954,16 Jun 1954 - 18:00 ,Group 3,Berne ,Uruguay,2,Czechoslovakia,0
1954,16 Jun 1954 - 18:00 ,Group 3,Zurich ,Austria,1,Scotland,0
1954,16 Jun 1954 - 18:00 ,Group 1,Geneva ,Brazil,5,Mexico,0
1954,16 Jun 1954 - 18:00 ,Group 1,Lausanne ,Yugoslavia,1,France,0
1954,17 Jun 1954 - 18:00 ,Group 2,Berne ,Germany FR,4,Turkey,1
1954,17 Jun 1954 - 18:00 ,Group 2,Zurich ,Hungary,9,Korea Republic,0
1954,17 Jun 1954 - 18:10 ,Group 4,Basel ,England,4,Belgium,4
1954,17 Jun 1954 - 17:50 ,Group 4,Lausanne ,Switzerland,2,Italy,1
1954,19 Jun 1954 - 16:50 ,Group 3,Basel ,Uruguay,7,Scotland,0
1954,19 Jun 1954 - 17:00 ,Group 3,Zurich ,Austria,5,Czechoslovakia,0
1954,19 Jun 1954 - 17:10 ,Group 1,Geneva ,France,3,Mexico,2
1954,19 Jun 1954 - 17:00 ,Group 1,Lausanne ,Brazil,1,Yugoslavia,1
1954,20 Jun 1954 - 16:50 ,Group 2,Basel ,Hungary,8,Germany FR,3
1954,20 Jun 1954 - 17:00 ,Group 2,Geneva ,Turkey,7,Korea Republic,0
1954,20 Jun 1954 - 17:10 ,Group 4,Berne ,England,2,Switzerland,0
